Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,EEEFK1J100P,CAP-SMD_BD6.3-L6.6-W6.6-FD,124.46,-71.12,90.0,top
C2,EEEFK1J100P,CAP-SMD_BD6.3-L6.6-W6.6-FD,131.445,-71.12,90.0,top
D1,BZT52C5V1S-7-F,SOD-323_L1.8-W1.3-LS2.5-RD,122.809,-66.04,180.0,top
D2,BZT52C5V1S-7-F,SOD-323_L1.8-W1.3-LS2.5-RD,126.111,-66.04,0.0,top
D3,BZT52C5V1S-7-F,SOD-323_L1.8-W1.3-LS2.5-RD,129.794,-66.04,180.0,top
D4,BZT52C5V1S-7-F,SOD-323_L1.8-W1.3-LS2.5-RD,133.096,-66.04,0.0,top
R1,0603WAF1004T5E,R0603,122.301,-75.184,180.0,top
R2,0603WAF1004T5E,R0603,129.286,-75.184,0.0,top
R3,0603WAF1004T5E,R0603,126.492,-75.184,180.0,top
R4,0603WAF1004T5E,R0603,133.604,-75.184,180.0,top
